tipo,id,campo,antes,depois,motivo
normalizacao_valor,br_antt_071_ecovias_capixaba_sao_mateus,eixos_8_brl,54.4,54.40,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_071_ecovias_capixaba_sao_mateus,eixos_9_brl,61.2,61.20,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_coordenada,br_antt_071_ecovias_capixaba_sao_mateus,latitude,-18.863974,-18.86397400,Padronização para 8 casas decimais.
normalizacao_coordenada,br_antt_071_ecovias_capixaba_sao_mateus,longitude,-39.938705,-39.93870500,Padronização para 8 casas decimais.
normalizacao_valor,br_antt_066_ecovias_capixaba_aracruz,valor_base_categoria1_brl,6.4,6.40,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_066_ecovias_capixaba_aracruz,valor_original_categoria1_brl,6.4,6.40,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_066_ecovias_capixaba_aracruz,eixos_2_brl,12.8,12.80,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_066_ecovias_capixaba_aracruz,eixos_3_brl,19.2,19.20,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_066_ecovias_capixaba_aracruz,eixos_4_brl,25.6,25.60,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_066_ecovias_capixaba_aracruz,eixos_5_brl,32.0,32.00,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_066_ecovias_capixaba_aracruz,eixos_6_brl,38.4,38.40,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_066_ecovias_capixaba_aracruz,eixos_7_brl,44.8,44.80,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_066_ecovias_capixaba_aracruz,eixos_8_brl,51.2,51.20,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_066_ecovias_capixaba_aracruz,eixos_9_brl,57.6,57.60,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_coordenada,br_antt_066_ecovias_capixaba_aracruz,latitude,-19.563099,-19.56309900,Padronização para 8 casas decimais.
normalizacao_coordenada,br_antt_066_ecovias_capixaba_aracruz,longitude,-40.177621,-40.17762100,Padronização para 8 casas decimais.
normalizacao_valor,br_antt_072_ecovias_capixaba_serra,valor_base_categoria1_brl,6.1,6.10,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_072_ecovias_capixaba_serra,valor_original_categoria1_brl,6.1,6.10,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_072_ecovias_capixaba_serra,eixos_2_brl,12.2,12.20,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_072_ecovias_capixaba_serra,eixos_3_brl,18.3,18.30,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_072_ecovias_capixaba_serra,eixos_4_brl,24.4,24.40,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_072_ecovias_capixaba_serra,eixos_5_brl,30.5,30.50,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_072_ecovias_capixaba_serra,eixos_6_brl,36.6,36.60,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_072_ecovias_capixaba_serra,eixos_7_brl,42.7,42.70,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_072_ecovias_capixaba_serra,eixos_8_brl,48.8,48.80,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_072_ecovias_capixaba_serra,eixos_9_brl,54.9,54.90,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_coordenada,br_antt_072_ecovias_capixaba_serra,latitude,-20.032565,-20.03256500,Padronização para 8 casas decimais.
normalizacao_coordenada,br_antt_072_ecovias_capixaba_serra,longitude,-40.396624,-40.39662400,Padronização para 8 casas decimais.
normalizacao_valor,br_antt_067_ecovias_capixaba_guarapari,valor_base_categoria1_brl,6.3,6.30,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_067_ecovias_capixaba_guarapari,valor_original_categoria1_brl,6.3,6.30,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_067_ecovias_capixaba_guarapari,eixos_2_brl,12.6,12.60,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_067_ecovias_capixaba_guarapari,eixos_3_brl,18.9,18.90,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_067_ecovias_capixaba_guarapari,eixos_4_brl,25.2,25.20,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_067_ecovias_capixaba_guarapari,eixos_5_brl,31.5,31.50,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_067_ecovias_capixaba_guarapari,eixos_6_brl,37.8,37.80,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_067_ecovias_capixaba_guarapari,eixos_7_brl,44.1,44.10,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_067_ecovias_capixaba_guarapari,eixos_8_brl,50.4,50.40,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_067_ecovias_capixaba_guarapari,eixos_9_brl,56.7,56.70,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_coordenada,br_antt_067_ecovias_capixaba_guarapari,latitude,-20.519316,-20.51931600,Padronização para 8 casas decimais.
normalizacao_coordenada,br_antt_067_ecovias_capixaba_guarapari,longitude,-40.478609,-40.47860900,Padronização para 8 casas decimais.
normalizacao_valor,br_antt_068_ecovias_capixaba_itapemirim,valor_base_categoria1_brl,5.3,5.30,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_068_ecovias_capixaba_itapemirim,valor_original_categoria1_brl,5.3,5.30,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_068_ecovias_capixaba_itapemirim,eixos_2_brl,10.6,10.60,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_068_ecovias_capixaba_itapemirim,eixos_3_brl,15.9,15.90,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_068_ecovias_capixaba_itapemirim,eixos_4_brl,21.2,21.20,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_068_ecovias_capixaba_itapemirim,eixos_5_brl,26.5,26.50,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_068_ecovias_capixaba_itapemirim,eixos_6_brl,31.8,31.80,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_068_ecovias_capixaba_itapemirim,eixos_7_brl,37.1,37.10,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_068_ecovias_capixaba_itapemirim,eixos_8_brl,42.4,42.40,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_068_ecovias_capixaba_itapemirim,eixos_9_brl,47.7,47.70,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_coordenada,br_antt_068_ecovias_capixaba_itapemirim,latitude,-20.878586,-20.87858600,Padronização para 8 casas decimais.
normalizacao_coordenada,br_antt_068_ecovias_capixaba_itapemirim,longitude,-40.966118,-40.96611800,Padronização para 8 casas decimais.
normalizacao_valor,br_antt_069_ecovias_capixaba_mimoso,valor_base_categoria1_brl,3.0,3.00,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_069_ecovias_capixaba_mimoso,valor_original_categoria1_brl,3.0,3.00,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_069_ecovias_capixaba_mimoso,eixos_2_brl,6.0,6.00,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_069_ecovias_capixaba_mimoso,eixos_3_brl,9.0,9.00,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_069_ecovias_capixaba_mimoso,eixos_4_brl,12.0,12.00,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_069_ecovias_capixaba_mimoso,eixos_5_brl,15.0,15.00,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_069_ecovias_capixaba_mimoso,eixos_6_brl,18.0,18.00,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_069_ecovias_capixaba_mimoso,eixos_7_brl,21.0,21.00,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_069_ecovias_capixaba_mimoso,eixos_8_brl,24.0,24.00,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_069_ecovias_capixaba_mimoso,eixos_9_brl,27.0,27.00,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_coordenada,br_antt_069_ecovias_capixaba_mimoso,latitude,-21.158397,-21.15839700,Padronização para 8 casas decimais.
normalizacao_coordenada,br_antt_069_ecovias_capixaba_mimoso,longitude,-41.280614,-41.28061400,Padronização para 8 casas decimais.
normalizacao_valor,br_antt_055_eco050_campo_alegre,valor_base_categoria1_brl,9.6,9.60,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_055_eco050_campo_alegre,valor_original_categoria1_brl,9.6,9.60,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_055_eco050_campo_alegre,eixos_2_brl,19.2,19.20,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_055_eco050_campo_alegre,eixos_3_brl,28.8,28.80,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_055_eco050_campo_alegre,eixos_4_brl,38.4,38.40,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_055_eco050_campo_alegre,eixos_5_brl,48.0,48.00,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_055_eco050_campo_alegre,eixos_6_brl,57.6,57.60,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_055_eco050_campo_alegre,eixos_7_brl,67.2,67.20,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_055_eco050_campo_alegre,eixos_8_brl,76.8,76.80,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_055_eco050_campo_alegre,eixos_9_brl,86.4,86.40,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_056_eco050_ipameri,valor_base_categoria1_brl,8.9,8.90,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_056_eco050_ipameri,valor_original_categoria1_brl,8.9,8.90,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_056_eco050_ipameri,eixos_2_brl,17.8,17.80,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_056_eco050_ipameri,eixos_3_brl,26.7,26.70,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_056_eco050_ipameri,eixos_4_brl,35.6,35.60,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_056_eco050_ipameri,eixos_5_brl,44.5,44.50,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_056_eco050_ipameri,eixos_6_brl,53.4,53.40,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_056_eco050_ipameri,eixos_7_brl,62.3,62.30,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_056_eco050_ipameri,eixos_8_brl,71.2,71.20,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_056_eco050_ipameri,eixos_9_brl,80.1,80.10,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_039_concebra_alexania,valor_base_categoria1_brl,7.4,7.40,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_039_concebra_alexania,valor_original_categoria1_brl,7.4,7.40,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_039_concebra_alexania,eixos_2_brl,14.8,14.80,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_039_concebra_alexania,eixos_3_brl,22.2,22.20,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_039_concebra_alexania,eixos_4_brl,29.6,29.60,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_039_concebra_alexania,eixos_5_brl,37.0,37.00,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_039_concebra_alexania,eixos_6_brl,44.4,44.40,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_039_concebra_alexania,eixos_7_brl,51.8,51.80,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_039_concebra_alexania,eixos_8_brl,59.2,59.20,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_039_concebra_alexania,eixos_9_brl,66.6,66.60,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_040_concebra_goianapolis,valor_base_categoria1_brl,5.4,5.40,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_040_concebra_goianapolis,valor_original_categoria1_brl,5.4,5.40,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_040_concebra_goianapolis,eixos_2_brl,10.8,10.80,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_040_concebra_goianapolis,eixos_3_brl,16.2,16.20,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_040_concebra_goianapolis,eixos_4_brl,21.6,21.60,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_040_concebra_goianapolis,eixos_5_brl,27.0,27.00,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_040_concebra_goianapolis,eixos_6_brl,32.4,32.40,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_040_concebra_goianapolis,eixos_7_brl,37.8,37.80,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_040_concebra_goianapolis,eixos_8_brl,43.2,43.20,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_040_concebra_goianapolis,eixos_9_brl,48.6,48.60,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_075_ecovias_araguaia_porangatu,valor_base_categoria1_brl,12.0,12.00,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_075_ecovias_araguaia_porangatu,valor_original_categoria1_brl,12.0,12.00,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_075_ecovias_araguaia_porangatu,eixos_2_brl,24.0,24.00,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_075_ecovias_araguaia_porangatu,eixos_3_brl,36.0,36.00,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_075_ecovias_araguaia_porangatu,eixos_4_brl,48.0,48.00,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_075_ecovias_araguaia_porangatu,eixos_5_brl,60.0,60.00,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_075_ecovias_araguaia_porangatu,eixos_6_brl,72.0,72.00,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_075_ecovias_araguaia_porangatu,eixos_7_brl,84.0,84.00,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_075_ecovias_araguaia_porangatu,eixos_8_brl,96.0,96.00,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_075_ecovias_araguaia_porangatu,eixos_9_brl,108.0,108.00,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_way153_p1_piracanjuba,valor_base_categoria1_brl,15.6,15.60,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_way153_p1_piracanjuba,valor_original_categoria1_brl,15.6,15.60,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_way153_p1_piracanjuba,eixos_2_brl,31.2,31.20,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_way153_p1_piracanjuba,eixos_3_brl,46.8,46.80,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_way153_p1_piracanjuba,eixos_4_brl,62.4,62.40,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_way153_p1_piracanjuba,eixos_5_brl,78.0,78.00,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_way153_p1_piracanjuba,eixos_6_brl,93.6,93.60,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_way153_p1_piracanjuba,eixos_7_brl,109.2,109.20,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_way153_p1_piracanjuba,eixos_8_brl,124.8,124.80,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_way153_p1_piracanjuba,eixos_9_brl,140.4,140.40,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_078_ecovias_araguaia_estrela,valor_base_categoria1_brl,11.5,11.50,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_078_ecovias_araguaia_estrela,valor_original_categoria1_brl,11.5,11.50,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_078_ecovias_araguaia_estrela,eixos_2_brl,23.0,23.00,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_078_ecovias_araguaia_estrela,eixos_3_brl,34.5,34.50,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_078_ecovias_araguaia_estrela,eixos_4_brl,46.0,46.00,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_078_ecovias_araguaia_estrela,eixos_5_brl,57.5,57.50,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_078_ecovias_araguaia_estrela,eixos_6_brl,69.0,69.00,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_078_ecovias_araguaia_estrela,eixos_7_brl,80.5,80.50,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_078_ecovias_araguaia_estrela,eixos_8_brl,92.0,92.00,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_078_ecovias_araguaia_estrela,eixos_9_brl,103.5,103.50,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_way153_p2_itumbiara,valor_base_categoria1_brl,14.9,14.90,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_way153_p2_itumbiara,valor_original_categoria1_brl,14.9,14.90,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_way153_p2_itumbiara,eixos_2_brl,29.8,29.80,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
